ff_id	sfam_id	seq_count	dops_score	gap_per	category
1.10.10.10-ff-20119	1.10.10.10	26	80.036	2.960927960927961	low_seq
1.10.100.10-ff-656	1.10.100.10	42	89.19	31.238977072310405	low_seq
1.10.1040.10-ff-17616	1.10.1040.10	12	93.618	13.317757009345794	low_seq
1.10.1060.10-ff-10337	1.10.1060.10	33	88.14	26.549072817729535	low_seq
1.10.1070.11-ff-1692	1.10.1070.11	30	92.137	22.92079207920792	low_seq
1.10.1080.10-ff-523	1.10.1080.10	20	87.251	24.893617021276597	low_seq
1.10.110.10-ff-16	1.10.110.10	17	73.081	47.32090856144438	low_seq
1.10.1130.10-ff-2021	1.10.1130.10	31	79.158	12.39071450105517	low_seq
1.10.1170.10-ff-1260	1.10.1170.10	36	70.581	7.0750237416904085	low_seq
1.10.12.10-ff-5683	1.10.12.10	46	82.467	7.375776397515528	low_seq
1.10.1200.10-ff-23764	1.10.1200.10	24	75.737	3.6144578313253013	low_seq
1.10.1280.10-ff-270	1.10.1280.10	46	87.07	12.169122050544976	low_seq
1.10.1300.10-ff-1071	1.10.1300.10	32	81.647	35.0328947368421	low_seq
1.10.1320.10-ff-392	1.10.1320.10	37	80.416	5.088803088803089	low_seq
1.10.1420.10-ff-5385	1.10.1420.10	18	77.053	19.0146750524109	low_seq
1.10.1440.10-ff-275	1.10.1440.10	44	94.464	1.8465909090909092	low_seq
1.10.1450.10-ff-2060	1.10.1450.10	19	82.091	4.403866809881848	low_seq
1.10.1470.10-ff-2766	1.10.1470.10	20	85.513	9.166666666666666	low_seq
1.10.150.130-ff-17431	1.10.150.130	14	90.652	1.3437057991513437	low_seq
1.10.1520.10-ff-1352	1.10.1520.10	19	83.247	9.682860998650472	low_seq
1.10.1540.10-ff-597	1.10.1540.10	48	72.661	10.298463356973995	low_seq
1.10.1580.10-ff-1647	1.10.1580.10	39	90.16	16.202945990180034	low_seq
1.10.166.10-ff-1062	1.10.166.10	29	70.034	7.540229885057471	low_seq
1.10.1670.10-ff-5776	1.10.1670.10	29	76.818	37.68647591098068	low_seq
1.10.1750.10-ff-1682	1.10.1750.10	17	97.264	5.327413984461709	low_seq
1.10.185.10-ff-12	1.10.185.10	21	70.813	16.3003663003663	low_seq
1.10.196.10-ff-975	1.10.196.10	27	73.402	4.444444444444445	low_seq
1.10.20.10-ff-5678	1.10.20.10	25	72.832	18.736842105263158	low_seq
1.10.2000.10-ff-1011	1.10.2000.10	9	80.243	8.956228956228957	low_seq
1.10.225.10-ff-1949	1.10.225.10	49	72.844	4.945054945054945	low_seq
1.10.238.10-ff-146	1.10.238.10	30	71.402	25.245683930942896	low_seq
1.10.240.10-ff-5113	1.10.240.10	16	73.587	4.891304347826087	low_seq
1.10.246.10-ff-170	1.10.246.10	39	70.539	18.796844181459566	low_seq
1.10.250.10-ff-26	1.10.250.10	8	72.672	1.1458333333333333	low_seq
1.10.260.40-ff-47124	1.10.260.40	10	78.776	11.097560975609756	low_seq
1.10.286.10-ff-1748	1.10.286.10	16	90.176	5.439814814814815	low_seq
1.10.287.10-ff-2931	1.10.287.10	48	77.976	18.181818181818183	low_seq
1.10.30.10-ff-4376	1.10.30.10	25	72.552	10.524271844660195	low_seq
1.10.3060.10-ff-2159	1.10.3060.10	11	87.044	17.139282735613012	low_seq
1.10.3120.10-ff-1942	1.10.3120.10	7	73.868	0.3417634996582365	low_seq
